Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
4300,30988.4,54.8370653,-4.9125871,127.2,358.6236,10
4301,30988.4,54.837085,-4.9125928,127.2,358.3302,10
4302,30988.6,54.8371072,-4.912606,128,358.4018,10
4303,30988.6,54.8371275,-4.9126129,128,358.7329,10
4304,30988.8,54.8371498,-4.9126262,128.8,359.2925,10
4305,30988.8,54.8371707,-4.9126342,128.8,359.9302,10
4306,34589,54.8371942,-4.9126437,129.1,0.573235,10
4307,34589,54.8372156,-4.9126525,129.1,1.118604,10
4308,30989.2,54.8372344,-4.9126596,128.1,1.511523,10
4309,30989.2,54.8372561,-4.9126687,128.1,1.665651,10
4310,30989.4,54.8372759,-4.9126782,127.6,1.676761,10
4311,30989.4,54.8372979,-4.9126879,127.6,1.49609,10
4312,30989.6,54.8373181,-4.9126977,127.2,1.067449,10
4313,30989.6,54.8373404,-4.9127081,127.2,0.4167861,10
4314,30989.8,54.8373611,-4.9127184,126.8,359.5823,10
4315,30989.8,54.8373836,-4.9127295,126.8,358.596,10
4316,34590,54.8374052,-4.9127404,126.4,357.3925,10
4317,34590,54.837428,-4.9127525,126.4,356.2162,10
4318,30990.2,54.8374502,-4.9127642,125.9,355.1348,10
4319,30990.2,54.8374733,-4.9127777,125.9,353.9002,10
4320,30990.4,54.8374958,-4.9127904,125.3,352.7312,10
4321,30990.4,54.837519,-4.9128056,125.3,351.511,10
4322,30990.6,54.8375419,-4.91282,124.8,350.2894,10
4323,30990.6,54.8375651,-4.9128369,124.8,348.9287,10
4324,30990.8,54.8375882,-4.912853,124.4,347.3513,10
4325,30990.8,54.8376112,-4.9128718,124.4,345.4902,10
4326,34591,54.8376344,-4.9128896,124.1,343.8321,10
4327,34591,54.837657,-4.9129105,124.1,342.1408,10
4328,30991.2,54.83768,-4.9129307,123.8,340.4607,10
4329,30991.2,54.8377022,-4.9129538,123.8,338.8995,10
4330,30991.4,54.8377249,-4.9129761,123.7,337.476,10
4331,30991.4,54.8377466,-4.913001,123.7,336.131,10
4332,30991.6,54.8377683,-4.9130259,123.6,334.7463,10
4333,30991.6,54.8377893,-4.9130527,123.6,333.5655,10
4334,30991.8,54.8378103,-4.9130797,123.7,332.3799,10
4335,30991.8,54.8378308,-4.913108,123.7,331.1131,10
4336,34592,54.837851,-4.9131366,123.7,329.7219,10
4337,34592,54.8378708,-4.9131664,123.7,328.2657,10
4338,30992.2,54.8378906,-4.9131959,123.7,326.8091,10
4339,30992.2,54.8379098,-4.9132272,123.7,325.347,10
4340,30992.4,54.8379287,-4.9132587,123.7,323.7154,10
4341,30992.4,54.8379474,-4.9132911,123.7,322.0667,10
4342,30992.6,54.8379655,-4.9133237,123.7,320.5813,10
4343,30992.6,54.8379835,-4.9133577,123.7,318.7911,10
4344,30992.8,54.8380013,-4.9133911,123.6,317.266,10
4345,30992.8,54.8380185,-4.9134268,123.6,315.8206,10
4346,34593,54.8380351,-4.9134624,123.5,314.4371,10
4347,34593,54.8380513,-4.9134994,123.5,312.9092,10
4348,30993.2,54.8380668,-4.9135366,123.5,311.3116,10
4349,30993.2,54.8380822,-4.913575,123.5,309.7483,10
4350,30993.4,54.8380968,-4.9136134,123.3,308.2301,10
4351,30993.4,54.8381113,-4.913653,123.3,306.6818,10
